skenario,n,mean_ms,median_ms,sd_ms,min_ms,p90_ms,p95_ms,p99_ms,max_ms,proporsi_le_20ms
pemalsuan_data,50000,0.879444,0.861867,0.153303,0.041250,0.982298,1.051079,1.352526,2.386967,100.000000
replay,4500,1.575491,1.289791,3.773028,1.194449,1.509681,1.686275,2.298708,102.949738,99.644444
kedaluwarsa,5000,1.924113,1.346870,6.713508,1.227846,1.603056,1.795296,2.425310,105.341598,99.400000
pemalsuan_tanda_tangan,4000,0.670571,0.769926,0.294164,0.192542,0.940352,1.001840,1.250993,2.104207,100.000000
