sesi,session_id,waktu_mulai,base_url,target_endpoint,timeout_detik,permintaan,sukses,gagal,laju_kesalahan_persen,throughput_ops_per_detik,laju_permintaan_ditawarkan_per_detik,laju_dibatasi_rate_limit_per_detik,mean_detik,min_detik,p50_detik,p90_detik,p95_detik,p99_detik,max_detik,stddev_detik,titik_optimal_pengguna,status_http,workflow_sukses,kesahihan
1,test_20260723_133053_146_real_http_stress_test_d11b5e,2026-07-23T13:30:53.146847,https://rsa-pss.com/,generate_verify,15,80,0,80,100.0,0.0,1.1022920909623097,0.0,16.120983260650007,15.065191384999935,15.312258914999973,16.13588992910001,20.629717392400064,27.04537702954001,27.21655547299997,2.594426462946076,0,"{""0"": 80}",0,gagal_total
2,test_20260727_071149_195_real_http_stress_test_27712c,2026-07-27T07:11:49.195437,http://127.0.0.1:5000/,generate_verify,15,800,0,800,100.0,0.0,188.41493929201633,0.0,0.20668922917844612,0.022962942020967603,0.15921545300807338,0.45558552670117936,0.47450274534348863,0.4971216104374616,0.5180771060113329,0.1471771531989126,0,"{""0"": 800}",0,gagal_total
3,test_20260727_071804_042_real_http_stress_test_8ee159,2026-07-27T07:18:04.042127,http://127.0.0.1:5000/,generate_verify,20,80,7,73,91.25,0.050931272040709914,0.8948123765089478,0.0,27.68766882293712,20.03614750300767,26.654092863493133,37.525940945817275,38.528656080151265,39.70694804807892,40.062600461998954,6.831298368422351,0,"{""0"": 73, ""200"": 7}",7,sebagian_besar_gagal
4,test_20260727_072243_431_real_http_stress_test_db1e7e,2026-07-27T07:22:43.431470,http://127.0.0.1:5000/,generate_verify,90,90,90,0,0.0,0.27378197902149354,0.27378197902149354,0.0,44.082521035977855,9.853394019010011,36.352001039500465,87.20781582921336,99.61557792564851,104.86349873226717,106.93874979397515,28.371369544981928,5,"{""200"": 90}",90,sah
5,test_20260727_072858_703_real_http_stress_test_955cfc,2026-07-27T07:28:58.703323,http://127.0.0.1:5000/,server_metrics,60,600,600,0,0.0,221.99470502829436,221.99470502829436,0.0,0.16688370217913567,0.009271949995309114,0.15256296248116996,0.33272862621524835,0.344925231540401,0.364987382213294,0.3759742630063556,0.09618154240708181,50,"{""200"": 600}",0,sah
6,test_20260727_093910_187_real_http_stress_test_316138,2026-07-27T09:39:10.187254,http://127.0.0.1:5000/,generate_verify,120,300,300,0,0.0,0.637437477946247,0.637437477946247,0.0,20.518471013513043,6.593347675981931,15.376203540494316,39.919623465198676,42.49854759981099,46.45947966657578,58.47363824502099,12.472619796364613,25,"{""200"": 300}",300,sah
