sesi,session_id,pengguna_serentak,target_endpoint,permintaan,sukses,gagal,timeout,laju_kesalahan_persen,laju_timeout_persen,throughput_ops_per_detik,laju_permintaan_per_detik,mean_detik,p95_detik,p99_detik,max_detik,cpu_rerata_persen,memori_rerata_mb,galat_dominan
1,test_20260723_133053_146_real_http_stress_test_d11b5e,100,generate_verify,20,0,20,20,100.0,100.0,0.0,0.7125778620001343,18.59852876175001,27.01070797770002,27.17538597393998,27.21655547299997,53.03333333333333,1221.6419270833333,The read operation timed out
1,test_20260723_133053_146_real_http_stress_test_d11b5e,100,generate_verify,20,0,20,20,100.0,100.0,0.0,1.1753451543203663,15.266463432449996,15.45300639100003,15.517048642199985,15.533059204999972,57.13333333333333,1414.2864583333333,The read operation timed out
1,test_20260723_133053_146_real_http_stress_test_d11b5e,100,generate_verify,20,0,20,20,100.0,100.0,0.0,1.1536841060010798,15.164963707200007,15.407512744699961,15.411310840140054,15.412260364000076,53.733333333333334,1216.2877604166667,The read operation timed out
1,test_20260723_133053_146_real_http_stress_test_d11b5e,100,generate_verify,20,0,20,20,100.0,100.0,0.0,1.1022920909623097,15.45397714120001,15.763767027299986,15.850990620660058,15.872796519000076,55.36666666666667,1404.6940104166667,The read operation timed out
2,test_20260727_071149_195_real_http_stress_test_27712c,10,generate_verify,200,0,200,0,100.0,0.0,0.0,141.88020924544816,0.059721416541869986,0.06771308171737245,0.31723088753235057,0.33200592498178594,47.042857142857144,938.3350074404761,Generate response did not include a QR verification URL
2,test_20260727_071149_195_real_http_stress_test_27712c,25,generate_verify,200,0,200,0,100.0,0.0,0.0,188.41493929201633,0.11743076476370334,0.13280068294116062,0.14079772474506172,0.14202262699836865,56.319047619047616,938.5310639880952,Generate response did not include a QR verification URL
2,test_20260727_071149_195_real_http_stress_test_27712c,50,generate_verify,200,0,200,0,100.0,0.0,0.0,184.27478465359397,0.22755824070467498,0.2559969641995849,0.2634429369898861,0.28084929901524447,55.30952380952381,939.6542038690476,Generate response did not include a QR verification URL
2,test_20260727_071149_195_real_http_stress_test_27712c,100,generate_verify,200,0,200,0,100.0,0.0,0.0,166.6127437039838,0.42204649470353617,0.49659934871597217,0.510596261775645,0.5180771060113329,47.5,941.3158482142857,Generate response did not include a QR verification URL
3,test_20260727_071804_042_real_http_stress_test_8ee159,10,generate_verify,40,7,33,33,82.5,82.5,0.050931272040709914,0.2910358402326281,31.445738530249947,38.12730271732871,39.887025219684,40.062600461998954,52.04,2022.09140625,The read operation timed out
3,test_20260727_071804_042_real_http_stress_test_8ee159,25,generate_verify,40,0,40,40,100.0,100.0,0.0,0.8948123765089478,23.929599115624296,38.528656080151265,38.799254002455854,38.80258302099537,55.58,2906.425,timed out
4,test_20260727_072243_431_real_http_stress_test_db1e7e,5,generate_verify,30,30,0,0,0.0,0.0,0.27378197902149354,0.27378197902149354,17.861268820800856,22.395040028801304,23.08062334656308,23.338596531015355,54.675,3070.6826171875,
4,test_20260727_072243_431_real_http_stress_test_db1e7e,10,generate_verify,30,30,0,0,0.0,0.0,0.2630987623461293,0.2630987623461293,36.48263544060077,54.56884991924016,57.547592544185754,58.09985003899783,55.825,3122.4033203125,
4,test_20260727_072243_431_real_http_stress_test_db1e7e,25,generate_verify,30,30,0,0,0.0,0.0,0.2628681262361329,0.2628681262361329,77.90365884653195,104.3616324387549,106.2625443918456,106.93874979397515,64.725,3534.177734375,
5,test_20260727_072858_703_real_http_stress_test_955cfc,25,server_metrics,200,200,0,0,0.0,0.0,149.75356549648077,149.75356549648077,0.0828725509638025,0.10728736939054215,0.11491713346913453,0.12064904801081866,33.452380952380956,4139.783110119048,
5,test_20260727_072858_703_real_http_stress_test_955cfc,50,server_metrics,200,200,0,0,0.0,0.0,221.99470502829436,221.99470502829436,0.15308053937973454,0.19161171115993056,0.21017792896396711,0.21286307202535681,42.51904761904762,4137.7319568452385,
5,test_20260727_072858_703_real_http_stress_test_955cfc,100,server_metrics,200,200,0,0,0.0,0.0,202.76176816588492,202.76176816588492,0.26469801619387,0.35941453309060306,0.37247190609108655,0.3759742630063556,41.490476190476194,4141.510974702381,
6,test_20260727_093910_187_real_http_stress_test_316138,5,generate_verify,100,100,0,0,0.0,0.0,0.547743976386876,0.547743976386876,9.027179145399714,10.947221102780896,11.329491536293936,11.58085206898977,70.98181818181818,4431.512428977273,
6,test_20260727_093910_187_real_http_stress_test_316138,10,generate_verify,100,100,0,0,0.0,0.0,0.6364104146952108,0.6364104146952108,15.6162154864482,20.077959765002014,22.497356626420814,24.02471282798797,88.56363636363636,4596.717329545455,
6,test_20260727_093910_187_real_http_stress_test_316138,25,generate_verify,100,100,0,0,0.0,0.0,0.637437477946247,0.637437477946247,36.91201840869122,43.991811371289074,57.42495111133234,58.47363824502099,88.94545454545454,4632.469460227273,
